open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp
1704067200000,42283.58,42397.23,42261.02,42397.23,155.25731,1704067499999,6572925.83256960,6350,106.05732000,4490262.47081090,0,2024-01-01 00:00:00+00:00
1704067500000,42397.22,42432.74,42385.26,42409.96,141.31102,1704067799999,5993374.70276780,5134,69.45156000,2945451.61138490,0,2024-01-01 00:05:00+00:00
1704067800000,42409.97,42488.09,42409.96,42488.0,135.14249,1704068099999,5738385.96719130,5167,73.25966000,3110337.74502870,0,2024-01-01 00:10:00+00:00
1704068100000,42488.0,42554.57,42458.58,42458.85,163.32541,1704068399999,6943229.97618270,6153,82.81591000,3520688.53524470,0,2024-01-01 00:15:00+00:00
1704068400000,42458.85,42491.1,42445.84,42473.93,117.27112,1704068699999,4979136.05053320,3094,49.06278000,2083183.18030300,0,2024-01-01 00:20:00+00:00
1704068700000,42473.93,42500.0,42412.02,42419.73,111.65236,1704068999999,4739498.02868500,4085,43.64197000,1852694.07639370,0,2024-01-01 00:25:00+00:00
1704069000000,42419.73,42419.73,42354.19,42362.93,77.85936,1704069299999,3299937.78774740,4552,29.46018000,1248498.37796500,0,2024-01-01 00:30:00+00:00
1704069300000,42362.93,42447.82,42355.36,42447.82,149.18862,1704069599999,6324233.37676100,3542,114.68252000,4861572.63639320,0,2024-01-01 00:35:00+00:00
1704069600000,42447.82,42447.82,42396.5,42441.32,92.85846,1704069899999,3939919.62915800,2865,47.85757000,2030572.80105710,0,2024-01-01 00:40:00+00:00
1704069900000,42441.32,42465.52,42422.45,42422.46,59.74817,1704070199999,2536517.25643110,2342,30.61345000,1299672.82273010,0,2024-01-01 00:45:00+00:00
1704070200000,42422.45,42459.56,42422.45,42459.55,33.134,1704070499999,1406179.05561460,1837,20.60355000,874370.35706990,0,2024-01-01 00:50:00+00:00
1704070500000,42459.56,42490.74,42455.99,42475.23,34.93276,1704070799999,1483911.31014730,2013,15.06934000,640112.20526380,0,2024-01-01 00:55:00+00:00
1704070800000,42475.23,42475.23,42435.52,42435.53,86.468,1704071099999,3670754.35749570,2873,57.72521000,2450539.63387170,0,2024-01-01 01:00:00+00:00
1704071100000,42435.52,42459.22,42431.65,42436.8,58.69942,1704071399999,2491621.37840060,2232,34.04914000,1445247.30910550,0,2024-01-01 01:05:00+00:00
1704071400000,42436.8,42471.1,42436.8,42466.33,43.59357,1704071699999,1850632.49872530,2151,23.39990000,993384.19500280,0,2024-01-01 01:10:00+00:00
1704071700000,42466.32,42495.71,42466.32,42493.61,37.14979,1704071999999,1578294.77183790,1870,25.01631000,1062740.51269780,0,2024-01-01 01:15:00+00:00
1704072000000,42493.61,42513.17,42478.07,42478.07,51.74072,1704072299999,2198985.87344660,2160,20.81980000,884659.59092570,0,2024-01-01 01:20:00+00:00
1704072300000,42478.07,42511.1,42470.0,42493.16,63.5964,1704072599999,2702706.67629710,2550,34.09872000,1449135.02937250,0,2024-01-01 01:25:00+00:00
1704072600000,42493.16,42574.5,42493.16,42565.22,64.97471,1704072899999,2764168.61972930,3652,43.14586000,1835224.99732400,0,2024-01-01 01:30:00+00:00
1704072900000,42565.22,42775.0,42565.21,42717.52,420.49157,1704073199999,17946209.90699100,18028,271.16706000,11571845.84236110,0,2024-01-01 01:35:00+00:00
1704073200000,42717.53,42751.73,42675.0,42697.5,157.10679,1704073499999,6710624.90750800,5745,102.02477000,4357432.68507750,0,2024-01-01 01:40:00+00:00
1704073500000,42697.5,42720.0,42653.06,42698.01,113.43382,1704073799999,4842759.27911990,3793,61.47118000,2624486.70922170,0,2024-01-01 01:45:00+00:00
1704073800000,42698.01,42706.1,42660.0,42664.45,39.00133,1704074099999,1664669.02717950,2470,20.03181000,854999.69100330,0,2024-01-01 01:50:00+00:00
1704074100000,42664.46,42664.49,42613.56,42613.56,60.12244,1704074399999,2563466.05141070,2872,19.37251000,825949.15231280,0,2024-01-01 01:55:00+00:00
